Temps ;Temperatur;Consigne_T;Humidite;Consigne_H
(s);(�C);(�C);(%);(%)
17910;20.03;20.0;120.0;255.0
17940;20.03;20.0;120.0;255.0
17970;20.01;20.0;120.0;255.0
18000;20.01;20.0;120.0;255.0
18030;20.01;20.0;120.0;255.0
18060;19.99;20.0;120.0;255.0
18090;19.98;20.0;120.0;255.0
18120;20.0;20.0;120.0;255.0
18150;20.0;20.0;120.0;255.0
18180;19.99;19.91;120.0;255.0
18210;19.94;19.81;120.0;255.0
18240;19.84;19.71;120.0;255.0
18270;19.74;19.61;120.0;255.0
18300;19.63;19.51;120.0;255.0
18330;19.55;19.41;120.0;255.0
18360;19.44;19.31;120.0;255.0
18390;19.31;19.21;120.0;255.0
18420;19.22;19.11;120.0;255.0
18450;19.13;19.01;120.0;255.0
18480;19.04;18.91;120.0;255.0
18510;18.96;18.81;120.0;255.0
18540;18.82;18.71;120.0;255.0
18570;18.72;18.61;120.0;255.0
18600;18.65;18.51;120.0;255.0
18630;18.55;18.41;120.0;255.0
18660;18.47;18.31;120.0;255.0
18690;18.35;18.21;120.0;255.0
18720;18.26;18.11;120.0;255.0
18750;18.13;18.01;120.0;255.0
18780;18.02;17.91;120.0;255.0
18810;17.93;17.81;120.0;255.0
18840;17.82;17.71;120.0;255.0
18870;17.73;17.61;120.0;255.0
18900;17.63;17.51;120.0;255.0
18930;17.53;17.41;120.0;255.0
18960;17.41;17.31;120.0;255.0
18990;17.34;17.21;120.0;255.0
19020;17.25;17.11;120.0;255.0
19050;17.16;17.01;120.0;255.0
19080;17.06;16.91;120.0;255.0
19110;16.94;16.81;120.0;255.0
19140;16.84;16.71;120.0;255.0
19170;16.73;16.61;120.0;255.0
19200;16.64;16.51;120.0;255.0
19230;16.55;16.41;120.0;255.0
19260;16.44;16.31;120.0;255.0
19290;16.34;16.21;120.0;255.0
19320;16.23;16.11;120.0;255.0
19350;16.13;16.01;120.0;255.0
19380;16.02;15.91;120.0;255.0
19410;15.92;15.81;120.0;255.0
19440;15.83;15.71;120.0;255.0
19470;15.74;15.61;120.0;255.0
19500;15.57;15.51;120.0;255.0
19530;15.55;15.41;120.0;255.0
19560;15.44;15.31;120.0;255.0
19590;15.36;15.21;120.0;255.0
19620;15.26;15.11;120.0;255.0
19650;15.16;15.01;120.0;255.0
19680;15.07;15.0;120.0;255.0
19710;15.03;15.0;120.0;255.0
19740;15.0;15.0;120.0;255.0
19770;15.0;15.0;120.0;255.0
19800;15.03;15.0;120.0;255.0
19830;15.0;15.0;120.0;255.0
19860;15.0;15.0;120.0;255.0
19890;15.0;15.0;120.0;255.0
19920;14.99;15.0;120.0;255.0
19950;14.98;15.0;120.0;255.0
19980;14.99;15.0;120.0;255.0
20010;15.01;15.0;120.0;255.0
20040;15.0;15.0;120.0;255.0
20070;14.99;15.0;120.0;255.0
20100;15.0;15.0;120.0;255.0
20130;15.0;15.0;120.0;255.0
20160;15.01;15.0;120.0;255.0
20190;15.01;15.0;120.0;255.0
20220;14.99;15.0;120.0;255.0
20250;14.99;15.0;120.0;255.0
20280;14.99;15.0;120.0;255.0
20310;15.0;15.0;120.0;255.0
20340;15.0;15.0;120.0;255.0
20370;15.01;15.0;120.0;255.0
20400;14.99;15.0;120.0;255.0
20430;14.99;15.0;120.0;255.0
20460;14.99;15.0;120.0;255.0
20490;15.0;15.0;120.0;255.0
20520;15.01;15.0;120.0;255.0
20550;15.0;15.0;120.0;255.0
20580;15.0;15.0;120.0;255.0
20610;15.0;15.0;120.0;255.0
20640;14.99;15.0;120.0;255.0
20670;15.0;15.0;120.0;255.0
20700;14.99;15.0;120.0;255.0
20730;15.0;15.0;120.0;255.0
